model,step_to,mean_distance,n
qwen7b,7,0.357318,222
qwen7b,8,0.354174,150
qwen7b,9,0.314991,111
qwen7b,10,0.330432,93
qwen7b,11,0.322092,63
qwen7b,12,0.327813,54
qwen7b,13,0.330344,42
qwen7b,14,0.323002,39
qwen7b,15,0.355055,33
qwen7b,16,0.325888,27
qwen7b,17,0.264491,24
qwen7b,18,0.257905,24
qwen7b,19,0.21227,15
qwen7b,20,0.182808,12
qwen7b,21,0.27725,12
qwen7b,22,0.317289,9
qwen7b,23,0.339061,9
qwen7b,24,0.28459,6
qwen7b,25,0.165785,6
qwen7b,26,0.28373,6
qwen7b,27,0.357283,6
qwen7b,28,0.293282,6
qwen7b,29,0.305714,6
qwen7b,30,0.315999,6
qwen7b,31,0.218841,3
qwen7b,32,0.258167,3
qwen7b,33,0.357239,3
qwen7b,34,0.308036,3
qwen7b,35,0.166141,3
qwen7b,36,0.220865,3
qwen7b,37,0.308507,3
